"id","date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm"
"59a13ceb",2021-10-01,43583808,700583,NA,587533446,403886993,215517064,191249414,67124,19272,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,57.29,56.02,61.9,25,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2021-10-02,43628030,701231,NA,588857395,404520007,215689867,191458832,64834,18942,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,57.29,56.02,61.9,25,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2021-10-03,43653869,701480,NA,589663327,404887722,215794698,191590843,64381,18770,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,57.29,56.02,61.9,25,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2021-10-04,43826568,703515,NA,590941951,405877686,216040463,191850361,64487,18674,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2021-10-05,43925170,705543,NA,592793690,406899995,216283362,192109770,63508,18261,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2021-10-06,44051125,708073,NA,594779001,407939137,216530781,192371601,62376,17911,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2021-10-07,44156527,710522,NA,596689435,408979171,216783643,192634033,61095,17482,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2021-10-08,44269453,712967,NA,598482563,410145635,217068128,192951440,59461,17010,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2021-10-09,44306787,713480,NA,599723471,410683469,217214118,193121271,57940,17374,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
"59a13ceb",2021-10-10,44329826,713961,NA,600452331,410999645,217305742,193227790,57496,17888,NA,-2,-2,-2,-4,-1,-1,-1,3,2,3,1,-3,5,-2,54.17,56.02,61.9,0,1,"United States",NA,NA,38,-97,326687501,"USA","US",840,"USD",NA,"ChIJCzYy5IS16lQRQrfeQ5K5Oxw","United States","US",NA,"USA"
